id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
17,Legend House,Movie,Adventure,Fantasy,1984,113,TV-MA,English,Japan,6.3,11115414,53455628,0,0,TRUE,2021-06-14,FALSE
18,Quest Mystery,TV Series,Biography,None,1986,36,R,French,Japan,7.4,11115414,64610932.91,3,54,TRUE,2022-12-15,TRUE
19,Last House,Movie,Action,None,1990,36,NC-17,English,Japan,6.4,10949397,45443003,0,0,FALSE,2020-11-19,FALSE
20,War Story,Movie,Action,Crime,1990,96,PG,Korean,Japan,3.9,11115414,351613,0,0,FALSE,2024-10-30,TRUE
21,Family Kingdom,Stand-up Comedy,Action,Adventure,1990,70,NC-17,English,France,2.9,11115414,64610932.91,0,0,TRUE,2024-11-23,FALSE
22,Fire Secret,Movie,Adventure,None,1990,121,PG-13,English,South Korea,8.6,11115414,3300259,0,0,TRUE,2023-12-04,FALSE
23,Night Secret,Movie,Animation,None,1990,150,PG,German,USA,6.3,9373108,1233608,0,0,FALSE,2022-02-11,FALSE
24,Fire Night,TV Series,Animation,None,1990,29,TV-MA,Spanish,USA,6.6,11115414,64610932.91,9,90,TRUE,2021-06-06,FALSE
25,Fire Mystery,Movie,Biography,None,1990,114,TV-Y7,English,South Korea,4.4,895311,52104449,0,0,FALSE,2023-04-04,FALSE
26,Secret Story,Documentary,Biography,Documentary,1990,134,TV-14,French,France,4.7,11115414,64610932.91,0,0,FALSE,2024-02-27,TRUE
27,Hero Quest,Movie,Comedy,Music,1990,70,TV-PG,English,Germany,5.9,1855152,64610932.91,0,0,FALSE,2022-10-26,FALSE
28,Story Hero,Documentary,Comedy,Adventure,1990,92,R,English,Germany,6.3,11115414,64610932.91,0,0,FALSE,2024-04-13,FALSE
29,My Journey,Movie,Crime,None,1990,121,TV-Y7,Japanese,South Korea,5.3,11115414,5454814,0,0,TRUE,2021-04-06,TRUE
30,Big Warrior,TV Series,Family,None,1990,31,TV-G,English,USA,4.7,11115414,64610932.91,1,31,FALSE,2025-07-13,TRUE
31,Quest Princess,Movie,History,Western,1990,132,TV-Y,Japanese,USA,6.3,27892159,12209704,0,0,FALSE,2022-04-28,TRUE
32,House Fire,Stand-up Comedy,Horror,None,1990,63,TV-PG,English,USA,0.8,11115414,64610932.91,0,0,FALSE,2021-08-18,FALSE
33,My Journey,TV Series,Music,None,1990,33,TV-PG,English,USA,3.9,11115414,64610932.91,13,199,TRUE,2025-06-10,FALSE
34,Little War,Movie,Mystery,None,1990,117,TV-14,Korean,Japan,8.4,11115414,32793336,0,0,TRUE,2020-10-01,FALSE
34,Battle Queen,Movie,Mystery,None,1990,119,TV-14,German,USA,1.4,11115414,28637,0,0,FALSE,2024-02-22,TRUE
35,King Dragon,Movie,Romance,Western,1990,112,TV-14,English,USA,6.8,3329576,45321,0,0,TRUE,2021-05-15,FALSE
35,Secret Family,Documentary,Romance,None,1990,100,TV-Y,Hindi,France,5.4,11115414,64610932.91,0,0,TRUE,2022-11-22,FALSE
36,Dragon Princess,Movie,Sci-Fi,Romance,1990,126,TV-Y,English,USA,5.2,300376,31428491,0,0,FALSE,2021-03-02,TRUE
37,My Queen,TV Series,Sci-Fi,None,1990,62,TV-Y,English,USA,7.4,11115414,64610932.91,7,192,FALSE,2020-11-19,FALSE
38,Dark Love,Movie,Sci-Fi,Animation,1990,103,G,English,Japan,8.3,755027,121486,0,0,FALSE,2023-07-21,FALSE
39,Journey Love,TV Series,Sport,None,1990,63,PG-13,English,Canada,7.2,11115414,64610932.91,4,79,FALSE,2023-03-02,FALSE
40,Love War,Movie,Sport,None,1990,86,TV-Y,English,USA,6.2,4103654,6858445,0,0,FALSE,2021-06-13,FALSE
41,Journey Love,TV Series,Sport,None,1990,63,PG-13,English,Canada,7.2,11115414,64610932.91,4,79,FALSE,2023-03-02,FALSE
42,Fire Empire,TV Series,Thriller,Sci-Fi,1990,40,G,English,UK,8.4,11115414,64610932.91,10,197,TRUE,2024-03-09,FALSE
43,Mystery Adventure,Movie,Thriller,None,1990,125,TV-14,English,USA,5.7,5738797,1406285,0,0,FALSE,2024-10-09,FALSE
43,Family Story,TV Series,War,None,1990,53,TV-14,Korean,India,7.2,11115414,64610932.91,2,53,TRUE,2020-09-21,FALSE
44,Dragon Storm,Stand-up Comedy,War,None,1990,59,G,English,USA,6.6,11115414,64610932.91,0,0,TRUE,2022-08-05,FALSE
45,Legend King,Documentary,War,None,1990,59,TV-14,English,USA,6.3,11115414,64610932.91,0,0,FALSE,2022-04-12,TRUE
46,War Hero,Stand-up Comedy,Western,None,1990,53,PG,Spanish,South Korea,6.8,11115414,64610932.91,0,0,FALSE,2023-09-04,FALSE
47,Quest Secret,TV Series,Western,Crime,1990,54,R,English,UK,3.8,11115414,64610932.91,5,38,FALSE,2023-03-05,FALSE
48,An Empire,TV Series,Adventure,None,1991,25,PG,English,USA,4.9,11115414,64610932.91,12,183,TRUE,2025-04-04,FALSE
49,Last Secret,Stand-up Comedy,Adventure,Mystery,1991,62,TV-G,Korean,France,1.8,11115414,64610932.91,0,0,TRUE,2022-11-07,TRUE
50,Legend Journey,Stand-up Comedy,Adventure,Crime,1991,74,TV-MA,Italian,UK,7.7,11115414,64610932.91,0,0,FALSE,2021-03-03,FALSE
51,Dragon Night,Documentary,Animation,Family,1991,89,NC-17,Spanish,South Korea,7.3,11115414,64610932.91,0,0,FALSE,2020-08-25,TRUE
52,Dark Day,Limited Series,Animation,History,1991,18,TV-14,English,Canada,5.8,11115414,64610932.91,8,99,FALSE,2025-04-30,FALSE
53,Fire Quest,Movie,Documentary,Sport,1991,104,TV-MA,Hindi,USA,3.6,11115414,64610932.91,0,0,FALSE,2020-10-13,FALSE
54,Fire Queen,Movie,Documentary,None,1991,101,R,English,USA,5.3,9012419,64610932.91,0,0,FALSE,2021-08-02,FALSE
55,Dark Dragon,Documentary,Documentary,Documentary,1991,79,NC-17,Spanish,South Korea,5.1,11115414,64610932.91,0,0,FALSE,2024-05-16,FALSE
55,Storm Secret,Movie,Drama,None,1991,92,TV-MA,English,USA,4.7,6921573,64610932.91,0,0,FALSE,2022-11-29,TRUE
56,Dark Storm,TV Series,Family,None,1991,24,TV-Y,English,India,1.7,11115414,64610932.91,7,106,FALSE,2022-02-23,FALSE
56,Old House,Movie,Horror,None,1991,109,TV-Y,Spanish,South Korea,7.7,629216,3995303,0,0,FALSE,2020-10-04,FALSE
57,An Fire,TV Series,Horror,Music,1991,58,TV-Y7,Japanese,South Korea,8.5,11115414,64610932.91,7,178,FALSE,2021-01-11,FALSE
58,Fire Battle,Movie,Horror,None,1991,108,TV-Y7,Japanese,USA,5.6,902788,27378941,0,0,FALSE,2024-11-20,FALSE
59,King Princess,TV Series,Music,Biography,1991,69,R,English,USA,6.3,11115414,64610932.91,2,103,TRUE,2022-01-22,FALSE
60,Warrior Dream,Movie,Sci-Fi,Drama,1991,99,NC-17,English,Germany,6.3,11115414,516398028,0,0,FALSE,2023-10-16,FALSE
61,Day Queen,Movie,Sport,None,1991,109,TV-14,Italian,USA,6.3,11397312,32147534,0,0,TRUE,2024-11-16,FALSE
62,Warrior War,Movie,Sport,None,1991,102,TV-PG,English,Japan,6.3,5565586,16023137,0,0,FALSE,2022-10-20,TRUE
63,Old Empire,Movie,Thriller,None,1991,118,PG-13,Spanish,USA,4.9,5168542,23957389,0,0,FALSE,2025-06-14,TRUE
64,Story Kingdom,TV Series,War,None,1991,35,PG,English,UK,8.8,11115414,64610932.91,14,62,FALSE,2024-04-23,FALSE
65,Big Family,TV Series,War,Sport,1991,14,PG-13,English,USA,7.9,11115414,64610932.91,8,36,FALSE,2022-08-26,TRUE
66,Journey War,Movie,War,Music,1991,153,PG-13,English,UK,8.4,5258946,64610932.91,0,0,FALSE,2025-05-06,FALSE
67,King Warrior,TV Series,Western,None,1991,6,G,English,India,5.1,11115414,64610932.91,9,99,FALSE,2023-06-05,FALSE
68,King Phoenix,TV Series,Action,Western,1992,27,TV-Y7,Spanish,USA,7.0,11115414,64610932.91,7,117,FALSE,2023-06-17,FALSE
69,Mystery War,TV Series,Action,None,1992,63,NC-17,English,Canada,9.1,11115414,64610932.91,9,176,FALSE,2024-10-05,TRUE
70,King Phoenix,TV Series,Action,Western,1992,27,TV-Y7,Spanish,USA,7.0,11115414,64610932.91,7,117,FALSE,2023-06-17,FALSE
71,Adventure House,Movie,Animation,Adventure,1992,109,TV-MA,Korean,USA,6.3,1354517,3059547,0,0,TRUE,2023-09-28,FALSE
72,Dark City,Documentary,Animation,War,1992,84,TV-MA,English,Germany,5.9,11115414,64610932.91,0,0,FALSE,2023-03-16,FALSE
73,Story Love,Movie,Animation,Action,1992,121,TV-PG,English,USA,7.2,1205813,359088664,0,0,FALSE,2024-08-24,FALSE
74,Big Queen,TV Series,Biography,None,1992,28,PG-13,English,Germany,6.5,11115414,64610932.91,5,9,FALSE,2023-05-25,FALSE
75,Adventure Ice,Movie,Comedy,None,1992,87,TV-PG,English,UK,6.3,527595,64610932.91,0,0,FALSE,2022-01-15,FALSE
76,Adventure Ice,Movie,Comedy,None,1992,87,TV-PG,English,UK,6.3,527595,64610932.91,0,0,FALSE,2022-01-15,FALSE
77,Fire Secret,TV Series,Crime,None,1992,39,TV-PG,English,USA,8.3,11115414,64610932.91,11,163,TRUE,2023-03-11,FALSE
78,Journey Empire,TV Series,Crime,Documentary,1992,58,TV-Y,English,UK,7.1,11115414,64610932.91,4,18,TRUE,2022-11-22,FALSE
79,Journey Empire,TV Series,Crime,Documentary,1992,58,TV-Y,English,UK,7.1,11115414,64610932.91,4,18,TRUE,2022-11-22,FALSE
80,Legend Secret,TV Series,Drama,None,1992,37,TV-MA,English,Japan,9.0,11115414,64610932.91,4,148,FALSE,2025-04-21,FALSE
81,Last Queen,Movie,Drama,None,1992,76,PG,Italian,USA,6.5,4303395,6895198,0,0,FALSE,2021-07-19,FALSE
82,Legend Legend,Movie,History,None,1992,106,R,Japanese,USA,2.0,11115414,309036948,0,0,TRUE,2022-01-07,FALSE
83,Big Adventure,TV Series,History,Fantasy,1992,40,TV-Y,Korean,South Korea,6.3,11115414,64610932.91,14,173,FALSE,2022-12-08,FALSE
84,Big Adventure,TV Series,History,Fantasy,1992,40,TV-Y,Korean,South Korea,6.3,11115414,64610932.91,14,173,FALSE,2022-12-08,FALSE
85,House Night,Limited Series,Horror,None,1992,58,NC-17,English,South Korea,6.5,11115414,64610932.91,3,162,TRUE,2021-04-22,TRUE
86,First Quest,Stand-up Comedy,Horror,None,1992,30,NC-17,English,USA,7.2,11115414,64610932.91,0,0,FALSE,2024-07-26,FALSE
87,A Love,TV Series,Music,None,1992,23,TV-Y7,English,India,8.3,11115414,64610932.91,3,53,FALSE,2020-08-30,FALSE
88,Quest Night,Documentary,Music,Action,1992,98,R,English,USA,6.3,11115414,64610932.91,0,0,FALSE,2021-07-20,FALSE
88,A Mystery,Stand-up Comedy,Mystery,None,1992,45,R,Spanish,USA,9.1,11115414,64610932.91,0,0,FALSE,2021-06-11,FALSE
89,Our Love,Movie,Mystery,None,1992,131,G,English,UK,4.1,1703864,2238705,0,0,FALSE,2023-04-08,FALSE
89,Night Secret,TV Series,Romance,Sci-Fi,1992,580,TV-14,French,USA,6.3,11115414,64610932.91,4,42,TRUE,2020-08-24,FALSE
90,Hero Empire,Limited Series,Sci-Fi,Adventure,1992,63,NC-17,English,USA,9.0,11115414,64610932.91,6,46,FALSE,2021-04-22,FALSE
91,Hero Empire,Limited Series,Sci-Fi,Adventure,1992,63,NC-17,English,USA,9.0,11115414,64610932.91,6,46,FALSE,2021-04-22,FALSE
92,Family Ice,TV Series,Sport,Mystery,1992,34,R,English,USA,7.5,11115414,64610932.91,8,15,TRUE,2020-08-02,TRUE
93,Princess Quest,Movie,War,None,1992,103,TV-MA,Spanish,Canada,6.3,11115414,16977476,0,0,TRUE,2024-05-02,TRUE
94,Bright Hero,TV Series,Western,None,1992,36,TV-14,Japanese,USA,6.3,11115414,64610932.91,1,76,FALSE,2023-08-28,FALSE
95,A Empire,Movie,Action,None,1993,98,TV-MA,Korean,USA,5.6,3127772,391629433,0,0,TRUE,2021-06-29,FALSE
96,Day City,Documentary,Action,None,1993,85,G,Spanish,South Korea,8.5,11115414,64610932.91,0,0,FALSE,2024-03-02,FALSE
97,War Empire,Stand-up Comedy,Adventure,None,1993,72,TV-MA,English,USA,3.9,11115414,64610932.91,0,0,TRUE,2023-01-16,FALSE
98,Dragon Family,TV Series,Adventure,Western,1993,46,TV-Y7,English,USA,6.8,11115414,64610932.91,7,101,TRUE,2025-08-01,FALSE
99,Night Warrior,TV Series,Biography,None,1993,44,PG-13,English,USA,4.9,11115414,64610932.91,10,46,FALSE,2024-08-08,FALSE
100,Day Legend,TV Series,Comedy,Thriller,1993,56,TV-G,Hindi,USA,4.0,11115414,64610932.91,8,199,FALSE,2021-07-14,FALSE
101,Story Hero,Movie,Comedy,None,1993,101,TV-MA,English,USA,6.3,3865797,5081496,0,0,TRUE,2020-12-15,FALSE
102,Legend Fire,Movie,Comedy,Animation,1993,96,NC-17,English,UK,9.3,11115414,13896745,0,0,FALSE,2024-04-25,FALSE
103,Adventure Dream,Movie,Comedy,None,1993,121,TV-G,Italian,USA,4.5,11115414,13043639,0,0,FALSE,2024-11-23,FALSE
104,Hero Story,Movie,Crime,None,1993,95,TV-Y7,English,South Korea,6.3,9430381,345877,0,0,FALSE,2025-01-22,FALSE
105,Adventure Story,Movie,Crime,Music,1993,131,TV-MA,English,India,6.1,1905142,389765,0,0,FALSE,2022-01-30,FALSE
106,Family Mission,Movie,Documentary,None,1993,85,TV-MA,Japanese,USA,5.8,593000,99504513,0,0,FALSE,2020-10-10,FALSE
107,Phoenix Adventure,Limited Series,Documentary,None,1993,33,TV-G,English,USA,7.5,11115414,64610932.91,4,12,FALSE,2020-11-12,FALSE
108,Big Fire,Movie,Documentary,None,1993,89,TV-Y7,Spanish,USA,5.0,52194839,10221506,0,0,FALSE,2020-12-09,FALSE
109,Adventure Princess,Movie,Family,None,1993,97,R,English,USA,7.8,9889659,36933865,0,0,FALSE,2021-12-12,FALSE
110,New Fire,TV Series,Fantasy,None,1993,65,TV-14,Spanish,India,5.2,11115414,64610932.91,8,98,FALSE,2025-01-03,FALSE
111,Journey Kingdom,TV Series,Fantasy,None,1993,50,PG,English,USA,5.6,11115414,64610932.91,13,167,TRUE,2025-01-15,TRUE
112,Fire Phoenix,TV Series,Fantasy,None,1993,53,TV-Y,French,UK,6.3,11115414,64610932.91,12,178,FALSE,2020-12-02,FALSE
113,Mystery Legend,Movie,History,None,1993,128,R,English,Germany,5.6,9853801,58384599,0,0,TRUE,2023-12-01,TRUE
114,Dragon Ice,Documentary,Horror,None,1993,79,PG-13,English,Japan,4.7,11115414,64610932.91,0,0,TRUE,2022-11-24,FALSE
115,My Story,Movie,Horror,None,1993,94,TV-Y,Spanish,USA,10.0,5064920,11553135,0,0,FALSE,2023-09-10,FALSE
116,Last Quest,Documentary,Horror,Biography,1993,71,PG-13,English,UK,5.0,11115414,64610932.91,0,0,TRUE,2025-03-24,FALSE
117,House Story,Stand-up Comedy,Music,Sci-Fi,1993,334,TV-Y,English,South Korea,5.0,11115414,64610932.91,0,0,FALSE,2025-06-05,FALSE
118,Last War,Limited Series,Mystery,None,1993,23,TV-G,English,USA,4.4,11115414,64610932.91,2,102,FALSE,2024-05-05,FALSE
119,Last Phoenix,TV Series,Romance,Thriller,1993,71,R,Hindi,Canada,4.8,11115414,64610932.91,12,126,TRUE,2021-11-21,TRUE
120,Phoenix Secret,Limited Series,Romance,None,1993,59,TV-Y,English,Japan,4.2,11115414,64610932.91,0,189,TRUE,2023-08-14,FALSE
121,Love Legend,Stand-up Comedy,Sci-Fi,Crime,1993,51,TV-Y7,Spanish,USA,6.0,11115414,64610932.91,0,0,FALSE,2024-02-16,FALSE
122,Princess Day,Limited Series,Sci-Fi,Crime,1993,30,TV-Y7,English,USA,4.6,11115414,64610932.91,8,19,FALSE,2024-12-27,FALSE
123,Old House,Limited Series,Sport,None,1993,38,TV-Y,English,USA,4.9,11115414,64610932.91,6,176,FALSE,2021-05-04,TRUE
124,Last Night,TV Series,Sport,None,1993,42,NC-17,English,UK,6.3,11115414,64610932.91,10,25,FALSE,2021-09-02,FALSE
125,The Story,Movie,Thriller,None,1993,109,R,Spanish,USA,7.4,5539041,64610932.91,0,0,TRUE,2021-04-28,FALSE
126,Dark City,Stand-up Comedy,Western,Western,1993,68,TV-Y7,English,USA,5.3,11115414,64610932.91,0,0,FALSE,2021-08-03,FALSE
127,Our King,Movie,Western,None,1993,97,TV-Y,English,Germany,6.5,3405303,894261,0,0,FALSE,2021-02-20,FALSE
128,Our Family,Movie,Adventure,Drama,1994,119,PG-13,Spanish,India,7.4,13813223,64610932.91,0,0,TRUE,2023-05-16,FALSE
129,Storm Kingdom,TV Series,Adventure,None,1994,53,NC-17,English,USA,6.3,11115414,64610932.91,8,134,FALSE,2023-01-09,FALSE
130,Queen Mission,TV Series,Adventure,None,1994,50,PG,English,Canada,8.5,11115414,64610932.91,12,123,TRUE,2024-09-21,TRUE
131,House King,Movie,Adventure,None,1994,136,TV-MA,English,South Korea,5.3,1868982,134002064,0,0,FALSE,2021-03-02,FALSE
132,Last City,Documentary,Animation,Crime,1994,115,TV-PG,Japanese,South Korea,5.8,11115414,64610932.91,0,0,FALSE,2021-07-03,FALSE
133,An Mission,Documentary,Animation,Thriller,1994,35,TV-G,Spanish,USA,2.0,11115414,64610932.91,0,0,FALSE,2024-07-29,FALSE
134,Secret King,Movie,Animation,Adventure,1994,90,TV-MA,Japanese,South Korea,4.8,360993,2993307,0,0,FALSE,2020-08-24,FALSE
135,Princess City,TV Series,Animation,None,1994,80,G,English,USA,5.6,11115414,64610932.91,2,144,TRUE,2023-01-01,FALSE
136,Dream Warrior,Movie,Biography,None,1994,110,TV-14,English,USA,1.4,3768477,11316045,0,0,FALSE,2021-05-21,FALSE
137,Mystery House,Documentary,Biography,None,1994,112,TV-Y,Italian,USA,5.7,11115414,64610932.91,0,0,FALSE,2025-06-30,FALSE
138,Mission Day,Movie,Crime,None,1994,117,TV-Y,English,USA,5.5,1807059,57074574,0,0,FALSE,2021-05-12,FALSE
138,A Adventure,Stand-up Comedy,Documentary,None,1994,49,G,English,South Korea,6.3,11115414,64610932.91,0,0,FALSE,2022-04-19,FALSE
139,The Princess,TV Series,Drama,None,1994,62,R,German,USA,6.3,11115414,64610932.91,2,43,FALSE,2021-05-12,FALSE
140,Princess Love,TV Series,Family,Romance,1994,38,TV-PG,English,USA,7.4,11115414,64610932.91,7,62,FALSE,2021-03-01,FALSE
140,Secret Legend,Movie,Family,None,1994,102,TV-14,Hindi,UK,6.3,93953191,835652471,0,0,FALSE,2024-08-30,FALSE
141,A Day,Movie,Family,None,1994,28,G,Spanish,Canada,6.3,319285,64610932.91,0,0,TRUE,2023-11-22,TRUE
142,Princess Love,TV Series,Family,Romance,1994,38,TV-PG,English,USA,7.4,11115414,64610932.91,7,62,FALSE,2021-03-01,FALSE
143,Phoenix Dragon,Documentary,Fantasy,None,1994,66,PG,English,Canada,6.9,11115414,64610932.91,0,0,FALSE,2021-01-02,TRUE
144,Kingdom City,TV Series,History,None,1994,53,NC-17,English,USA,5.7,11115414,64610932.91,9,99,FALSE,2020-10-22,FALSE
145,Secret Night,TV Series,Horror,None,1994,46,R,English,USA,7.5,11115414,64610932.91,5,44,FALSE,2021-10-22,FALSE
146,Big Ice,Movie,Music,Western,1994,93,TV-MA,Hindi,South Korea,6.3,3501146,1126300,0,0,TRUE,2023-06-25,FALSE
147,Quest War,Documentary,Thriller,None,1994,89,TV-14,English,USA,4.9,11115414,64610932.91,0,0,FALSE,2022-02-26,FALSE
147,Old Night,Movie,War,None,1994,128,TV-Y,Korean,South Korea,6.2,1188048,1810400,0,0,FALSE,2022-06-27,FALSE
148,Battle Phoenix,TV Series,Western,Drama,1994,329,TV-MA,Japanese,USA,6.3,11115414,64610932.91,11,153,FALSE,2020-10-30,FALSE
149,Warrior Fire,Movie,Western,None,1994,98,G,English,USA,4.5,21557530,6020161,0,0,FALSE,2020-10-07,FALSE
150,Phoenix Day,Movie,Western,None,1994,117,TV-14,Korean,USA,8.5,994027,12250323,0,0,FALSE,2023-07-08,FALSE
151,Journey Mission,Movie,Action,Documentary,1995,93,NC-17,English,India,6.2,8955476,5873907,0,0,FALSE,2020-12-19,FALSE
151,Quest House,Movie,Action,None,1995,113,TV-MA,English,USA,5.9,59076396,1149791,0,0,FALSE,2021-09-05,FALSE
152,Last Phoenix,TV Series,Adventure,Fantasy,1995,45,TV-Y7,English,USA,5.7,11115414,64610932.91,4,182,FALSE,2020-08-20,TRUE
153,The Adventure,TV Series,Animation,None,1995,76,TV-Y7,Japanese,USA,2.7,11115414,64610932.91,7,199,FALSE,2021-12-24,FALSE
154,Queen Empire,Movie,Biography,None,1995,91,TV-G,French,USA,1.3,5268267,98546720,0,0,TRUE,2020-08-20,TRUE
155,Queen Quest,Movie,Biography,None,1995,166,TV-PG,English,India,6.9,719932,64610932.91,0,0,FALSE,2022-10-11,FALSE
156,A Secret,Movie,Biography,None,1995,94,G,English,USA,6.3,1080214,26058332,0,0,TRUE,2024-04-09,FALSE
157,Hero Dragon,Movie,Comedy,War,1995,100,TV-Y,English,USA,9.0,16854758,2474372,0,0,TRUE,2022-09-13,TRUE
158,Dream Family,TV Series,Comedy,None,1995,30,TV-Y7,French,South Korea,4.8,11115414,64610932.91,7,172,FALSE,2023-05-29,FALSE
159,A Adventure,Movie,Crime,Western,1995,130,TV-PG,English,USA,6.3,116133750,64610932.91,0,0,FALSE,2021-10-04,TRUE
160,Old House,Movie,Crime,War,1995,116,R,English,USA,1.7,6877911,65073829,0,0,TRUE,2021-04-05,TRUE
161,The Day,TV Series,Drama,Family,1995,45,G,Hindi,USA,1.7,11115414,64610932.91,7,97,FALSE,2023-03-02,FALSE
162,Hero Kingdom,Movie,Fantasy,Adventure,1995,166,TV-Y,English,USA,7.5,1537325,14483384,0,0,TRUE,2022-11-10,FALSE
163,Mystery City,Movie,Horror,None,1995,116,TV-MA,Korean,USA,7.3,11115414,64610932.91,0,0,FALSE,2022-06-24,FALSE
164,Fire Journey,Movie,Music,None,1995,82,TV-MA,Hindi,USA,0.8,954741,64610932.91,0,0,FALSE,2025-03-09,FALSE
165,Fire Journey,Movie,Music,None,1995,82,TV-MA,Hindi,USA,0.8,954741,64610932.91,0,0,FALSE,2025-03-09,FALSE
166,Legend Story,Movie,Mystery,None,1995,100,TV-14,Italian,USA,6.7,4869656,523538611,0,0,FALSE,2020-09-23,FALSE
167,City Empire,Limited Series,Mystery,Sci-Fi,1995,94,TV-Y,German,USA,6.3,11115414,64610932.91,6,77,FALSE,2024-08-01,FALSE
168,Quest Ice,Movie,Romance,Western,1995,111,TV-14,English,USA,6.3,2398917,35707634,0,0,FALSE,2021-01-13,FALSE
169,My Quest,Movie,Romance,None,1995,140,TV-14,Spanish,USA,6.2,135680978,164970469,0,0,FALSE,2020-10-12,FALSE
170,Empire Story,Movie,Sci-Fi,None,1995,143,TV-G,English,USA,6.7,94034621,38879782,0,0,FALSE,2023-03-06,FALSE
171,Kingdom Mission,Movie,Sport,None,1995,106,TV-Y7,English,USA,6.3,770163,3222643,0,0,FALSE,2021-03-12,TRUE
172,Ice Secret,Movie,Sport,None,1995,121,R,English,USA,7.0,14078805,64610932.91,0,0,FALSE,2024-10-08,FALSE
173,Queen Legend,TV Series,Sport,None,1995,40,TV-Y,French,UK,5.1,11115414,64610932.91,14,147,FALSE,2023-10-17,FALSE
174,Bright Mystery,Stand-up Comedy,Sport,None,1995,54,PG-13,Spanish,USA,6.8,11115414,64610932.91,0,0,FALSE,2024-12-02,FALSE
175,First Queen,Stand-up Comedy,Thriller,None,1995,63,TV-Y7,Spanish,Germany,7.3,11115414,64610932.91,0,0,FALSE,2022-10-03,TRUE
176,Secret Mission,Documentary,Thriller,None,1995,99,NC-17,English,USA,4.8,11115414,64610932.91,0,0,FALSE,2022-11-02,FALSE
177,Hero Mystery,TV Series,Western,Comedy,1995,52,TV-PG,English,USA,8.0,11115414,64610932.91,12,178,FALSE,2023-09-10,FALSE
178,Bright Phoenix,Movie,Western,None,1995,408,TV-MA,German,South Korea,4.6,8461755,173407724,0,0,TRUE,2021-04-14,FALSE
179,First Storm,Movie,Western,None,1995,456,TV-MA,English,USA,9.5,11115414,64610932.91,0,0,TRUE,2021-03-10,FALSE
180,Dark Love,Documentary,Action,None,1996,34,G,Japanese,UK,3.9,11115414,64610932.91,0,0,FALSE,2023-02-11,FALSE
181,Kingdom Day,Movie,Action,None,1996,89,PG,English,UK,5.9,6072218,37239804,0,0,FALSE,2023-01-14,FALSE
182,Adventure Quest,Movie,Action,Drama,1996,123,PG,Hindi,UK,5.2,1252871,1563002,0,0,FALSE,2025-02-08,FALSE
183,Storm Mission,Movie,Action,None,1996,28,PG,Korean,USA,4.4,11115414,2667223,0,0,TRUE,2022-09-24,TRUE
184,Journey Journey,Documentary,Action,None,1996,46,NC-17,English,USA,7.1,11115414,64610932.91,0,0,FALSE,2022-04-02,FALSE
